uts,artist,artist_mbid,album,album_mbid,title,track_mbid,fechahora
1640351615,recetasdeescandalo.com,,,,Bizcocho de limón y yogur muy esponjoso. ¡Receta fácil!,,2021-12-24 14:13:35
1440270788,Toundra,68766d21-1668-4e06-b49d-e881446afc02,IV,,Strelka,44be9cc2-88b4-4755-badd-62d9bfebdd85,2015-08-22 21:13:08
1440258326,Galantis,a7229e38-bab7-48c1-9f35-9b4c49738b0f,Pharmacy,aac532ef-ac44-46b5-b09d-a3ffcb2a389b,Runaway (U & I),0114fd9e-a867-4ad0-b7e0-d3b6e984dd23,2015-08-22 17:45:26
1440256767,Zugezogen Maskulin,5253c841-021b-4847-a80d-3821bc30bf0b,Alles brennt,,Plattenbau O.S.T.,8e13bc66-6569-4d2e-ba62-95075a16a920,2015-08-22 17:19:27
1440256492,Calvin Harris,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,How Deep Is Your Love,,How Deep Is Your Love,47e32556-48db-41e7-b4e1-60953ac492c1,2015-08-22 17:14:52
1440256211,Duke Dumont,6060d1bb-94f8-4863-89b9-425487f2f6b2,EP1,9bda1638-5810-4577-8e57-79177e721b99,I Got U,0024bb88-d6ff-4ccb-a2fb-7175660572ab,2015-08-22 17:10:11
1440255392,Darius,,Velour,2691c644-a0da-498f-b625-2e8b4823eebb,Maliblue,a80c6675-9cf0-3deb-aa1b-87df6ebd5b3f,2015-08-22 16:56:32
1440255145,Kiesza,87ff5ccd-64cd-45d6-bba3-ba2647e85d74,Hideaway,08589a60-37fe-4e03-a8a4-23d8a233eb9e,Hideaway,01128a51-26fd-4b97-8e99-cbc365d0453b,2015-08-22 16:52:25
1440254926,ZHU,eca0569c-877e-4d72-a280-90581c2adfd5,Nightday (EP),,Faded,0575090c-bd01-4382-bfd5-ebb0204dfa39,2015-08-22 16:48:46
1440254750,Junior Senior,258f34b3-e8c3-4621-937f-ffc5a3dc9918,D-D-Don't Don't Stop the Beat,15dd6fc7-b20b-35d4-884d-532c9500efec,Move Your Feet,000aeaae-83f6-3afc-a608-3f73697d3fe7,2015-08-22 16:45:50
1440253709,Todd Terje,a0cded3a-4ca3-4ddb-8e46-ed9037f30aea,It's the Arps,,Inspector Norse,0365d7a2-c3bc-3255-96da-d57ed40e9f86,2015-08-22 16:28:29
1440253511,Gramatik,9b62a8a3-fcd5-4b51-a970-0f08a440ed6d,SB2,3883a819-5a0c-4634-b233-748c258a823d,Hit That Jive,1d5117af-8b55-4260-92e0-719a4ed784a9,2015-08-22 16:25:11
1440253256,Gold Panda,bfbccd40-1a06-4ee7-b24d-b2f8cc714fa9,Lucky Shiner,16d86cb8-0310-3505-a1ad-c932e56db331,You,0347430a-b086-3cd4-a770-99e78a246fe1,2015-08-22 16:20:56
1440252999,Route 94,e2d1f228-3aff-4e6d-8932-032f4036131b,My Love,,My Love,2df708ec-cd70-4c14-88ec-246c4315a3dc,2015-08-22 16:16:39
1440252714,Major Lazer,75be165a-ad83-4d12-bd28-f589a15c479f,Get Free,752b6095-a8ef-4398-a0d1-97a545289ebb,Get Free,006ebd5d-33ae-3d12-bcc8-5b51365ec5d5,2015-08-22 16:11:54
1440252462,Kavinsky,eb6de5f6-98f8-4b5a-bfdc-f87fa4936baa,OutRun,44217cae-f225-4d3c-919b-cd6d70fe392c,Nightcall,21388839-65ae-49a9-9434-f1b1ee339777,2015-08-22 16:07:42
1440252023,Galantis,a7229e38-bab7-48c1-9f35-9b4c49738b0f,Peanut Butter Jelly,1753a861-5ae6-42f3-b409-697ea8bb074d,Peanut Butter Jelly,041db61e-83aa-43b6-b3aa-96787d43e2ea,2015-08-22 16:00:23
1440251852,Major Lazer,75be165a-ad83-4d12-bd28-f589a15c479f,Peace Is the Mission,43c96ba7-a500-46c5-8522-934b718edb98,Lean On (feat. MØ & DJ Snake),,2015-08-22 15:57:32
1440251659,Jack Holiday,2a6098ee-c8cb-486d-8ac8-f81b53a1771d,Yes!,,Yes! - Radio Edit,,2015-08-22 15:54:19
